Country or Area,Year,Exports of goods and services,Final consumption expenditure,General government final consumption expenditure,Gross capital formation,Gross Domestic Product (GDP),Gross fixed capital formation (including Acquisitions less disposals of valuables),Household consumption expenditure (including Non-profit institutions serving households),Imports of goods and services
Colombia,1982,4179458214,48890349919,4592123437,14708423745,54552768036,13222852128,44298226483,8134943490
Colombia,1983,3862396048,48496900268,4579571048,14194785666,54224601610,12939784484,43917329220,7260718689
Colombia,1984,4318219617,47087905572,4554913804,13348522772,53563327136,12607705559,42532991768,6773092936
Colombia,1985,4513172348,42000589903,4022160449,12237741418,48856114898,11881516302,37978429455,6219248268
Colombia,1986,6294327959,39858027084,3695668877,11580712904,48922427701,12045728099,36162358207,6381223339
Colombia,1987,5863400278,42122152751,3856744577,13393408898,50923001613,12312968415,38265408175,7128531197
Colombia,1988,6165041555,44699580148,4258917676,15876206558,54898963713,14863652198,40440662472,7913901177
Colombia,1989,6710744725,45263336827,4499886460,14537597182,55360090289,13884300898,40763450367,7894735842
Colombia,1990,7829604848,45894198609,4455585483,13752622648,56386835115,13021177085,41438613126,8523307529
Colombia,1991,8351563271,47553134973,4572092073,12109512627,57739762064,11697239951,42981042900,8280838935
Colombia,1992,7633339523,53298403153,5629331879,13973863689,61800136375,13340018287,47669071274,9962465565
Colombia,1993,8121614914,62081041007,6971446525,19626490390,71530116423,18465948239,55109594482,14161886862
Colombia,1994,10587793930,81229588108,9477414120,26523031072,94407946821,24837778332,71752173988,18625643861
Colombia,1995,11872762194,94072151761,11327246017,31005580639,1.09E+11,27643568134,82744905744,21599460514
Colombia,1996,13040019421,1.01E+11,14320119380,27958198633,1.15E+11,27994993085,86655729490,22555352540
Colombia,1997,13981177071,1.12E+11,17407589603,28998211680,1.26E+11,28762970007,94524075010,24660588958
Colombia,1998,13056197880,1.05E+11,16387538683,25250181915,1.16E+11,24894481801,88355979710,22934893013
Colombia,1999,13982707712,91373784045,15666557454,14441875541,1.02E+11,15258196482,75707226590,17113039498
Colombia,2000,15906183859,86419324696,14539059816,14898289384,98931769472,14031522637,71880264880,18098774345
Colombia,2001,15122258306,86139880317,14377872240,15767957947,97283480643,15037347250,71762008078,19669210496
Colombia,2002,14523652637,84987199476,13886668326,16924174229,97037082866,16291075767,71100531150,19251773400
Colombia,2003,15697766495,80781259242,13055726950,17705887839,93746855407,17041732570,67725532292,20414993325
Colombia,2004,19648811771,97736155921,16225052558,22794200743,1.16E+11,21923292606,81511103364,24181259998
Colombia,2005,24713096944,1.21E+11,20322865147,29679356901,1.45E+11,28658661040,1.00E+11,29781964043
Colombia,2006,28652849580,1.32E+11,22433660559,35799987220,1.61E+11,34681092635,1.10E+11,35415206473
Colombia,2007,33881745654,1.68E+11,28308825047,46535154073,2.06E+11,47644289722,1.40E+11,42609049086
Colombia,2008,43858927075,1.94E+11,31832921683,54515610592,2.42E+11,50301197163,1.63E+11,50999324070
Colombia,2009,38170353574,1.88E+11,32080533131,49958672301,2.32E+11,50668599674,1.56E+11,43532034885
Colombia,2010,46827057193,2.30E+11,39431790428,60404058897,2.86E+11,60173330011,1.91E+11,51364014935
Colombia,2011,64566199155,2.63E+11,44712534602,74342389232,3.34E+11,71483241282,2.18E+11,67639076738
Colombia,2012,69774498662,2.93E+11,49983418285,82343727730,3.71E+11,78766947883,2.43E+11,74272977032
Colombia,2013,69111348015,3.03E+11,53868145549,85872653080,3.82E+11,82124672310,2.49E+11,76041741809
Colombia,2014,63397043406,3.06E+11,54284658204,91479535270,3.81E+11,86412547545,2.51E+11,79472427889
Colombia,2015,45930515099,2.44E+11,43469430771,69771448918,2.93E+11,68610566966,2.01E+11,66651327931
Colombia,2016,41623750984,2.36E+11,41126390314,65523257228,2.83E+11,62597375107,1.95E+11,60766406796
Colombia,2017,47059502748,2.60E+11,46464855065,67406618406,3.12E+11,67799661888,2.14E+11,62881535899
Colombia,2018,52477853525,2.77E+11,50462766744,70123675186,3.30E+11,69882167530,2.26E+11,69000820810
Comoros,1970,5192243.3,40638190.27,11450631.54,9462172.35,37476996.26,12441608.21,29187558.73,19342136.4
Comoros,1971,5734445.277,44943948.58,12663912.08,10473553.63,41447953.12,13767067.5,32280036.51,21395922.87
Comoros,1972,6750030.935,52964760.37,14923884.51,12331805.66,48838558.03,16209043.64,38040875.86,25201119.08
Comoros,1973,9064570.111,70668995.09,19912355.11,16441277.86,65179719.33,21632898.97,50756639.98,33639268.15
Comoros,1974,10147741.59,79864852.89,22503864.28,18658456.69,73653247.55,24502441.98,57360988.62,38043856.65
Comoros,1975,15755714.4,124058452.9,34955526.72,28808129.26,114349455.1,37861310.13,89102926.21,58935620.87
Comoros,1976,15968519.58,122136716.7,34414105.49,28349887.74,112733559.4,37417820.4,87722611.18,58212783.74
Comoros,1977,16698509.67,135272731,38118405.29,31998016.57,124710895.1,41778553.67,97154325.67,64575980.42
Comoros,1978,22287579.31,175734223.2,49511965.38,40065537.19,161725836.5,52785434.98,126222257.8,82806427.87
Comoros,1979,33126577.45,233241137.9,65720018.07,54069947.58,216179659.1,72279599.03,167521119.9,112262536.3
Comoros,1980,28632391.3,281684113.9,79394237.79,70355494.59,258774570.5,89088748.44,202289876.1,135105424.1
Comoros,1981,35806440.75,261550818.9,73654518.58,52965418.41,239427532.1,71958468.91,187896300.3,118433525.7
Comoros,1982,44766423.08,236907333.5,66771402.48,57721679.05,224378828.4,80380022.56,170135931,121423993.5
Comoros,1983,58926470.08,239353695.2,66070434,57964604.66,233660995.2,75419094.71,173283261.2,126079632.4
Comoros,1984,25834900.97,226181146.6,63441464.94,83000792.15,225217490,91083621.18,162739681.6,125718328.7
Comoros,1985,51861966.58,237848811.1,65668838.16,64480089.01,239886040,81964192.13,172179972.9,120699557.7
Comoros,1986,71189840.29,341581326.5,93567074,65826018.64,340451641,85960940.57,248014252.5,141988308.6
Comoros,1987,80783828.49,414490410.1,111698884.2,84553502.76,411576590.2,90436689.9,302791525.9,175265541.1
Comoros,1988,100659465.9,438114160.8,117316918.7,77239524.11,434714142.3,91787795.56,320797242.1,182518239.2
Comoros,1989,79784615.95,433970726.3,114348705.4,64286164.27,416394646.2,72462471.88,319622020.9,164437047.9
Comoros,1990,76826943.5,532346442.5,130659350.7,83839813.27,510762203.4,75300207.39,401687091.8,191538921.6
Comoros,1991,102919781.3,539807866.8,129321019.6,68101894.32,514318237.4,76079133.68,410486847.2,196509910.5
Comoros,1992,100063571.7,572913777.4,114203205.8,113833423.7,554675615.7,127841534.9,458710571.7,232135382.8
Comoros,1993,109674017.5,540634945.2,109513426.4,106018020.2,549210044.6,107755013.4,431121518.8,207117423
Comoros,1994,77698234.77,412211798,90976228.49,80061119.88,387081141.2,94676561.59,321235569.5,182889933.8
Comoros,1995,95496702.37,509051808.6,107644766.4,94017264.04,483213730.7,94017264.04,401407042.2,215352044.3
Comoros,1996,88015971.18,497756988.5,91245723.91,93266924,480295486.7,93266924,406511264.6,198744397
Comoros,1997,80181394.78,481817669.3,77868469.93,70033697.47,441914506.4,70033697.47,403949199.4,190139092.4
Comoros,1998,53655429.53,469938214.4,70491774.02,80576911.06,448830272.6,80576911.06,399446440.4,155361119.4
Comoros,1999,61262037.4,490450535.5,68013363.97,69388634.2,463799465.5,69388634.2,422437171.5,157280904.2
Comoros,2000,70618939.19,446030803.6,49510356.9,42592243.05,421942431.3,42592243.05,396520446.7,137278716.8
Comoros,2001,72437852.2,459400321,74216229.39,53682176.51,455574742.2,53682176.51,385184091.6,130028322.8
Comoros,2002,78379814.01,491940730.2,79717215.17,61257026.3,510725137.6,61257026.3,412223515.1,130984260
Comoros,2003,54025849.32,651120668.3,89126475.98,74204665.8,657327979.6,62659471.2,561994192.4,139998121.5
Comoros,2004,38572963.7,812252856.1,100709155.8,88392948.27,762021645.9,75336534.65,711543700.3,177197122.2
Comoros,2005,57102945.65,755927732.9,70237381.49,112689212.8,787338144.7,110305499.8,685690351.4,138381746.6
Comoros,2006,60124775.96,793374710.2,77377595.59,138354047.8,836185468.2,135612874.2,715997114.6,155668065.8
Comoros,2007,71320018.84,781256890.7,85216238.77,134191024.7,794621743.7,127224831.5,696040652,192146190.6
Comoros,2008,74976006.17,916773053.2,99715914.65,175543481,911967395.2,170487714.4,817057138.6,255325145.2
Comoros,2009,83966816.97,913274674.2,103487351.2,162224025.9,901711447.3,150081931.7,809787323,257754069.8
Comoros,2010,87433852.39,926118988.6,84582509.95,164863880.8,907093955.2,162029105,841536478.6,271322766.6
Comoros,2011,101729369.5,1063299447,96402575.27,163698893.5,1021748134,170909974.8,966896871.8,306979576.2
Comoros,2012,90881182.4,1084647706,87508836.78,164083914.2,1015900498,169615448.9,997138869.7,323712305.2
Comoros,2013,100971522.3,1169361122,91756772.75,182519527.5,1115905293,180959600.7,1077604350,336946879
Comoros,2014,111091513.5,1201786028,101200335.7,174538861.2,1148057907,174935289.1,1100585693,339358495.9
Comoros,2015,97879255.14,1018715136,136074064,138737047.3,988150693.7,137368658.4,882641071.6,267180744.4
Comoros,2016,106085049.9,1057169832,107438600,137108777.6,1011870873,136087994,949731232.3,288063338.3
Comoros,2017,126488385.4,1105443724,113580824.4,134074100.7,1065019333,131517202.2,991862899.3,300987218.9
Comoros,2018,148304051,1214985964,125996791.8,149652862.3,1165690421,141644130.8,1088989172,347252818.2
Congo,1970,83131657.72,313665422.9,61899378.94,144473158.3,283678162.9,145580793,251766043.9,272263248.8
Congo,1971,106153626,351699913.3,69693463.36,190361676.8,324463522.5,173337610.5,282006450,358371217.2
Congo,1972,130874561.8,404709347.2,82562416.15,214937591.4,389798511,203756258.9,322146931,390875783.3
Congo,1973,165490972.8,528469765,107022847.8,321730874.9,519535709.8,289897703.5,421446917.2,527937987.4
Congo,1974,320161464.5,575719250.9,121972007,254185563.4,627653029.1,281983482.9,453747243.9,631753039.6
Congo,1975,279304830.4,799376092.8,184157195.8,355110102.6,739566594.6,362358236.3,615218897,810042376.4
Congo,1976,308055897.5,819964357.1,182952027.5,355151220,767193924.4,345802790.2,637012329.6,845233615
Congo,1977,331379939.6,872329883.3,195680183.9,309150209.1,765165836.2,313496699.9,676649699.4,933704762.6
Congo,1978,373941470.8,1038160337,226503692.6,448166460.3,951046472.1,438544600.9,811656644.4,1074370691
Congo,1979,607150943.9,1244770296,279904743.5,619381320.4,1292565315,667227310,964865552.2,1420011896
Congo,1980,1032139309,1424731453,336977845,1136488221,1846019115,1199747612,1087753608,2142283266
Congo,1981,1243206615,1560218841,301090042.3,1789170578,2157427630,1884896804,1259128798,2977731858
Congo,1982,1282713390,1670469153,327322686.9,2404394243,2338337853,2628982588,1343146466,3664219716
Congo,1983,1305398779,1664610035,366227545.6,1501332243,2269824015,1696558212,1298382489,2687561319
Congo,1984,1451989174,1687603362,364243281.5,1241587378,2373943219,1354541689,1323360081,2477498605
Congo,1985,1319375387,1794928010,399261644.4,1218951006,2338643476,1315713012,1395666365,2414907635
Congo,1986,791364928,2225516758,518322520.7,1014479591,2001283783,1127158562,1707194237,2456710799
Congo,1987,1030186241,2550726966,531147245,844232103,2486527891,1022937557,2019579721,2196932303
Congo,1988,965446901.3,2590472401,523145703.1,767013947.5,2394303403,925682382,2067326698,2214500915
Congo,1989,1239371636,2498621053,509141665.9,717795660.8,2624123750,847833020.2,1989479387,2099830390
Congo,1990,1430926076,2729693874,817567790.2,456720583.6,3072958510,494811918,1912126083,1336166531
Congo,1991,1137233725,2872508879,956309802,574369269.9,3147967872,549563201.8,1916199077,1336254512
Congo,1992,1240154631,3150504909,1053366023,650176764.8,3059889837,619445624.2,2097138885,1548153228
Congo,1993,1164296106,2914903247,933497177.5,525086220.3,2800242390,509829710.4,1981406070,1401498479
Congo,1994,1023016252,1686829005,525179520.1,859258811.4,1853175951,812402883.5,1161649485,1618318684
Congo,1995,1200566183,1926841497,550827914.3,902270671.7,2207380544,876093871.8,1376013583,1691300651
Congo,1996,1638682903,2066518931,537755943.6,704354243.4,2650414017,675937671.9,1528762988,1596155138
Congo,1997,1692627073,1921457756,746472417,772492820.7,2423022486,756786113,1174985339,1848110921
Congo,1998,1294678068,1736971855,496869548.7,901594320.7,2008027356,858470828.7,1240102307,1862550593
Congo,1999,1735957696,1705833222,581705740.8,671266946.4,2455559738,642092165.2,1124127481,1555412350
Congo,2000,2684753405,1669056499,519186015.4,652750100.5,3358958017,595616591,1149870483,1584625816
Congo,2001,2177319314,1773544751,492162743.1,712858908.4,2914925966,709796289.1,1281382008,1669904885
Congo,2002,2275465680,2106032452,693776252.1,687117537.6,3150407940,659801543.8,1412256200,1774130661
Congo,2003,2544380110,2469147274,729369418.3,890082459,3646832939,868219602.9,1739777856,2096300979
Congo,2004,3527636778,2876824140,857775762.8,1120738870,4849373392,1094830317,2019048377,2513187748
Congo,2005,4910371119,3041871867,897163653.6,1533596277,6349779926,1508112467,2144708214,3056667663
Congo,2006,6247586137,3418733625,1028265768,2281098797,8065134380,2261111806,2390467857,3882284179
Congo,2007,6006923711,4434857739,1473630190,5355082166,8771102344,5344499333,2961227549,7025761272
Congo,2008,8516862973,5132103680,1408712810,4881501440,11602894194,4870054500,3723390870,6927573898
Congo,2009,6244442199,5096626156,1361333466,5037247050,9495430274,5027740209,3735292690,6882885132
Congo,2010,9001562370,5201071093,1478481674,6770441296,13678011910,6758361188,3722589419,7295062849
Congo,2011,11509118451,6408569952,2041880040,6496641544,16443657996,6482853735,4366689912,7970671951
Congo,2012,10276989470,6628772032,2434180110,7752915999,17693923329,7749137552,4194591922,6964754173
Congo,2013,9648259721,8020617057,2450564546,11143323583,17805175957,11139815770,5570052511,11007024403
Congo,2014,9911108011,8381821739,3106849805,10383061779,18906667256,10381316282,5274971934,9769324273
Congo,2015,5136570552,6403367398,1610230614,8174970937,11091534660,8174643045,4793136785,8623374227
Congo,2016,4192114147,6253512442,1717073628,6143030321,10011786874,6142783929,4536438814,6810222819
Congo,2017,4723548046,6302839933,1821640665,5389810936,10978971299,5389594755,4481199268,4997416074
Congo,2018,6412695222,6482389185,1678584157,5598308258,14173188324,5583588125,4803805028,5545727153
Cook Islands,1970,7563756.571,12525487.29,3566444.571,2916875.827,11153116.35,1771060.764,8959042.715,11853003.34
Cook Islands,1971,6033759.47,13409263.6,3803571.014,3127411.423,11243227.47,3127411.423,9605692.586,11327208.16
Cook Islands,1972,6331542.12,13461110.91,4210858.123,3011687.669,11630516.3,3011687.669,9250252.79,11173825.6
Cook Islands,1973,10135272.94,14733346.02,5613014.304,2969387.886,15065320.75,2969387.886,9120330.363,12772684.75
Cook Islands,1974,11074852.29,18688382.19,6786178.967,3875107.588,17699518.01,3875107.588,11902203.23,15938824.07
Cook Islands,1975,9626781.81,22192316.21,6847232.449,4996036.203,17354218.09,4996036.203,15345083.76,19460916.14
Cook Islands,1976,8078044.141,23056300.6,6657383.453,5339142.058,16396360.64,5339142.058,16398916.15,20077126.15
Cook Islands,1977,8800788.57,27609887.72,7622121.902,6507596.022,19064840.22,6507596.022,19987765.82,23853431.12
Cook Islands,1978,10987602.99,30793130.65,9558701.827,6913483.171,22166164.32,6913483.171,21234428.83,26528053.53
Cook Islands,1979,16767377.72,32689646.71,11059317.69,7042379.562,25262325.88,7042379.562,21630329.02,31237078.12
Cook Islands,1980,18969900.08,33626533.12,12373086.07,6919675.075,27840460.54,6919675.075,21253446.08,31675646.77
Cook Islands,1981,21672510.74,33652397.02,12935521.94,6744978.947,28670527.74,6744978.947,20716875.09,33399358.1
Cook Islands,1982,20007504.35,31012186.4,13135795.85,5820176.725,28678835.39,5820176.725,17876389.8,28161031.33
Cook Islands,1983,18824435.46,33861504.55,13728585.05,6554854.892,28342880.7,6554854.892,20132919.49,30897914.2
Cook Islands,1984,22886240.17,29261859.69,13674389.78,5074951.852,29449721.03,5074951.852,15587469.91,27773330.68
Cook Islands,1985,19967329.3,35467717.39,13994317.9,6991287.073,30781655.38,6991287.073,21473399.49,31644677.89
Cook Islands,1986,34029900.09,34784710.65,17373966.91,5668572.037,39678319.61,5668572.037,17410743.74,34804863.16
Cook Islands,1987,55089589.68,35083098.72,23025877.4,3925577.571,50468020.57,3925577.571,12057221.32,43630245.4
Cook Islands,1988,36620257.79,68423985.18,27941382.81,13180283.03,64256362.33,13180283.03,40482602.37,53968164.33
Cook Islands,1989,25387611.35,77704755.86,27573510.72,16321678.2,64944198.33,16321678.2,50131245.13,54469846.47
Cook Islands,1990,46658580.4,74593316.64,32541398.12,13691219.64,72583682.77,13691219.64,42051918.52,62359433.92
Cook Islands,1991,58193252.15,62970020.15,35980092.46,8787352.473,79136807.55,8787352.473,26989927.69,50813817.21
Cook Islands,1992,38648006.8,76963639.68,33154622.56,14263294.05,81792045.12,14263294.05,43809017.12,48082895.96
Cook Islands,1993,47465097.61,79406358.42,33719022.11,14874835.27,91454465.07,14874835.27,45687336.31,50291826.23
Cook Islands,1994,55608114.53,82125492.8,39342512.65,13929237.59,108568304.6,13929237.59,42782980.16,43094540.34
Cook Islands,1995,56923898.04,97770567.17,44475055.94,17351897.03,115571975,17351897.03,53295511.23,56474386.6
Cook Islands,1996,59870192.58,92174112.41,42168337.23,16280828.06,116540396.2,16280828.06,50005775.18,51784737.58
Cook Islands,1997,60829630.2,87336504.56,37750228.47,16144247.99,107142124.4,16144247.99,49586276.75,57168258.39
Cook Islands,1998,50756077.77,74487783.26,29951184.78,14500178.82,93436055.06,14500178.82,44536598.48,46307984.79
Cook Islands,1999,66630013.7,75408321.28,30739162.65,14543338.2,100046168.2,14543338.2,44669158.62,56535504.98
Cook Islands,2000,76769899.36,76515037.49,31353347.17,14703695.91,99983700.48,14703695.91,45161690.77,68004932.27
Cook Islands,2001,78191039.34,76705686.63,33417100.22,14093852.76,105007416.7,14093852.76,43288586.41,63983162.03
Cook Islands,2002,80455895.62,90581372.83,38089513.53,17090244.5,121331836.2,17090244.5,52491858.84,66795676.76
Cook Islands,2003,108710349.5,126286244.6,47930243.26,25511064.85,166696567.7,25511064.85,78356001.33,93811091.15
Cook Islands,2004,117215613,151706897.6,56440682.1,31016674.57,194743340.9,31016674.57,95266215.46,105195844.3
Cook Islands,2005,132988474.2,150122040.2,64280226.86,27948287.57,199196541.1,27948287.57,85841813.37,111862260.9
Cook Islands,2006,145906527.1,156977894.6,61269509.61,31160635.92,204974497.6,31160635.92,95708384.97,129070560
Cook Islands,2007,174773520.5,161862980.5,69258260.92,30150147.62,226660631.8,30150147.62,92604719.6,140126016.9
Cook Islands,2008,191110477.6,181256509.2,77338811.12,33833415.3,225453825.6,33833415.3,103917698,180746576.4
Cook Islands,2009,168095331.7,133832312.8,68084319.35,21406162.8,215568521.1,21406162.8,65747993.5,107765286.3
Cook Islands,2010,195897372.3,154831588.4,77407984.92,25207496.25,240788432.5,25207496.25,77423603.5,135148024.4
Cook Islands,2011,217629698.3,187461774.2,88875418.17,32097642.33,271970637.4,32097642.33,98586356.02,159545183.6
Cook Islands,2012,249710833.3,194909570.4,96210721.51,32134268.2,299381019.5,32134268.2,98698849.74,167351320.9
Cook Islands,2013,271434997.2,191194330.3,93472420.58,31816196.74,289201532.7,31816196.74,97721909.77,181246969.6
Cook Islands,2014,284790531.8,213120906.7,103434565.4,35711564.31,319453748.6,35711564.31,109686340.5,187101180.8
Cook Islands,2015,255325929.7,199363431,97537544.24,33152365.98,302173463.3,33152365.98,101825887.5,168128454.1
Cook Islands,2016,282205321.9,205334710.5,100164951.5,34241060.2,309858493.2,34241060.2,105169758.3,174834409.4
Cook Islands,2017,270112861.3,229205471.8,111727627.5,38248313.39,345608995.3,38248313.39,117477844.3,240843721
Cook Islands,2018,306768473.7,240071908.9,117195814.1,40005870,362713890.6,40005870,122876094.8,219744685.6
Costa Rica,1970,305012475.1,1256125640,126829587.7,190778893.7,1252531742,211074974.3,1129296053,421213370.4
Costa Rica,1971,321264030.4,1362391800,153104268.1,247269597.1,1369838275,262398005.4,1209287532,494340746.4
Costa Rica,1972,416412189.1,1531433424,182544671.5,257305493.3,1574757231,298710497.6,1348888752,560584953.7
Costa Rica,1973,523988903.4,1840437646,218450263.3,345967436.2,1944300598,373058899.5,1621987383,697304937.6
Costa Rica,1974,614594560,2162806966,244090866.4,420344061.3,2119439861,440848733.1,1918716099,992048744.6
Costa Rica,1975,655949131.1,2492615411,305852707.4,400289215.7,2493743625,474736395.6,2186762704,934994503.5
Costa Rica,1976,776050664.5,2887646077,395288917.3,538414859.2,3068172757,622617746.4,2492357160,1041801532
Costa Rica,1977,1055335419,3622854516,503138464.6,703285149.3,3907334923,756623175.5,3119716051,1380841682
Costa Rica,1978,1104804267,4314643446,606085759.8,779666979.3,4480576912,893198219.7,3708557687,1570207657
Costa Rica,1979,1208935542,4950470710,746457565.3,963577696.8,5132021988,1162750847,4204013145,1856565961
Costa Rica,1980,1423430389,5832949905,902014395.7,1210993192,6144358734,1271317086,4930935509,2200369127
Costa Rica,1981,1263229452,2880254493,423137912,718355686.2,3336780349,695051532.8,2457116581,1563558420
Costa Rica,1982,1307634697,2736274192,388765040,606929841.3,3314911855,583085779.2,2347509152,1359499633
Costa Rica,1983,1261835378,3498413185,486909176.1,717726718.6,4001837740,623498068.7,3011504009,1431713958
Costa Rica,1984,1400404182,4077523629,586820148.9,783735433,4655133658,807995237.7,3490703480,1538152855
Costa Rica,1985,1341069269,4304812717,633153577.7,957922830.1,4988773451,834539280.4,3671659139,1575848733
Costa Rica,1986,1535946735,4710031041,694603928.7,1047267895,5601077674,905138905.3,4015427113,1661342978
Costa Rica,1987,1595362040,5073324914,696204759.8,1159484341,5764102931,987717044.9,4377120154,2005214724
Costa Rica,1988,1746750914,5170905733,738460869.1,1064710515,5867415104,961729040.1,4432444864,2043713171
Costa Rica,1989,2026487478,5816970358,908759045,1310401528,6645580623,1178351538,4908211313,2503545269
Costa Rica,1990,2172040883,6522494214,1062383096,1477889009,7260596113,1407573089,5460111118,2910696443
Costa Rica,1991,2403948199,6164592526,936339013.6,1337264066,7168858163,1223979738,5228253512,2736946628
Costa Rica,1992,3021544043,7240201255,1024827735,1762215454,8528591307,1659162986,6215373520,3495369444
Costa Rica,1993,3453399780,8206465611,1210800457,2028264887,9537299960,1954334798,6995665154,4150830318
Costa Rica,1994,3763147731,8895365745,1382333208,2190371911,10432621540,2095971205,7513032538,4416263848
Costa Rica,1995,4412391134,9642149691,1485481956,2271842916,11507120157,2290318491,8156667735,4819263584
Costa Rica,1996,4673239125,10009258805,1517629350,2081252170,11619452084,2096683841,8491629455,5144298016
Costa Rica,1997,5248874938,10562978679,1578677169,2543653209,12552206400,2430682457,8984301510,5803300426
Costa Rica,1998,6015071674,11072854166,1737262485,3105135023,13615331860,3025988868,9335591681,6577729002
Costa Rica,1999,6066467162,11546813314,1904926581,2993949693,14195390057,3004235430,9641886733,6411840111
Costa Rica,2000,6445469297,11949412488,2066926750,3099997192,14949676187,2956152904,9882485738,6545202790
Costa Rica,2001,6471703766,12681728030,2292342952,3205332514,15913323117,3168836702,10389385078,6445441192
Costa Rica,2002,6503010054,13541648230,2443214282,3289015968,16504909035,3279975867,11098433948,6828765217
Costa Rica,2003,7024681692,14270504383,2511405440,3268128047,17195913957,3418092666,11759098943,7367400164
Costa Rica,2004,7855005697,15166476604,2605190374,3518812375,18528743975,3699400921,12561286229,8011550700
Costa Rica,2005,8712269734,16610430355,2708405119,3801470139,19952154757,3999249849,13902025237,9172015472
Costa Rica,2006,9838019975,18528637734,2983891974,4795547148,22600431090,4609234082,15544745759,10561773767
Costa Rica,2007,10910346143,21891209247,3427715620,6275484854,26743874711,6012776632,18463493626,12333165533
Costa Rica,2008,11953068973,25708542109,4151208505,7611429935,30612932094,7313849459,21557333603,14660108923
Costa Rica,2009,10647949568,25081799634,4820888513,5632665203,30562363430,6457664506,20260911121,10800050976
Costa Rica,2010,12363108598,30619091225,6245911444,7347459086,37268635236,7326967828,24373179780,13061023672
Costa Rica,2011,13886077282,35436652517,7254117464,8405780495,42262694504,8309740705,28182535052,15465815790
Costa Rica,2012,14950206121,38724110630,7937254975,9517509314,46473131799,9572599468,30786855655,16718694266
Costa Rica,2013,15586636101,41773493392,8740619736,9440235382,49745084870,9713287519,33032873656,17055280005
Costa Rica,2014,16313862264,42348218370,8851297802,9511969962,50577769811,9874049738,33496920568,17596280785
Costa Rica,2015,16884668642,45154919700,9574750693,10096761078,54775997556,10197930646,35580169007,17360351865
Costa Rica,2016,18345151692,46503229596,9834611093,10504160823,57157995873,10425059403,36668618503,18194546238
Costa Rica,2017,19229169890,47184391717,10041545355,10955603507,58174550212,10021254381,37142846362,19194614902
Costa Rica,2018,20275454831,48534359008,10234617047,11210153985,60126014829,10425695064,38299741961,19893952995
Croatia,1990,7520696510,14054865164,3467330835,2149607654,16632203353,2058808467,10587534329,7558856655
Croatia,1991,7540435578,12008075332,2824205381,1673843887,13568539217,1603140909,9183869951,7909011974
Croatia,1992,5223071998,9778058707,2572200091,1547067290,12252224025,1481719341,7205858616,4807848065
Croatia,1993,4864264344,11066987506,2692929857,1815119199,12988508885,1738448767,8374057649,5041020981
Croatia,1994,5694193639,13961917562,4516149439,2902887893,17375913468,2234607839,9445768123,5779692350
Croatia,1995,6181652553,20478202766,5584597614,3793675287,22417645769,3231441852,14893605152,8035884838
Croatia,1996,7276247020,20471607192,5326244359,4784910534,23710453762,4364302024,15145362833,8822310985
Croatia,1997,7460831084,20800530625,5158990577,6129426992,23854869152,5160588803,15641540048,10535919548
Croatia,1998,7498877741,21671717737,5771354296,5522711669,25467103242,5344422166,15900363441,9226203905
Croatia,1999,7122984913,19836776659,5499506169,4979198891,23400341480,4963471418,14337270490,8538618983
Croatia,2000,7638094873,18226223264,4645572657,4424821416,21669247338,4343396063,13580650607,8619892215
Croatia,2001,8631397032,19306235840,4467189498,5080418406,23179681011,4748137213,14839046342,9838370268
Croatia,2002,9710014690,22735743412,5126334717,6631083822,26815779791,5993162597,17609408695,12261062133
Croatia,2003,12448198976,28557111623,6434044693,9760531465,34686712108,8950564119,22123066930,16079129957
Croatia,2004,15347685911,33979026290,7735640298,11194768880,41594143606,10680903474,26243385991,18927337475
Croatia,2005,16669918689,37112300024,8390567532,12261438914,45386468265,11539465384,28721732492,20657189362
Croatia,2006,19123850275,40008884558,9293816124,14735799892,50437680227,13404432135,30715068434,23430854499
Croatia,2007,22761205421,47600104415,11480812670,17633450718,60171353429,16101246095,36119291744,27823407124
Croatia,2008,25575432906,55749215119,13120142174,21701867941,70259851617,19799145990,42629072946,32766664349
Croatia,2009,20447389404,50278258432,12839207117,15835405634,62599187589,15789834483,37439051316,23961865881
Croatia,2010,21635541493,48197692487,12264775478,12619420535,59807844793,12692572598,35932917009,22644809722
Croatia,2011,24233771340,51055944392,12884106104,12546581128,62354589181,12625905290,38171838288,25481707680
Croatia,2012,22329546108,46741961560,11622995557,10714551684,56494517299,11079769590,35118966003,23291542053
Croatia,2013,23475172603,47955346066,11813729112,11352321565,58057146117,11438782102,36141616955,24725694117
Croatia,2014,24959825276,46842699939,11961451073,11019879449,57643221345,11098598825,34881248866,25179183319
Croatia,2015,22972182904,39210096825,9960178142,10211728486,49530625299,9681853700,29249918682,22863382915
Croatia,2016,24577359078,40168545332,10105346266,10851849342,51596997794,10349460652,30063199066,24000755958
Croatia,2017,27675718711,42933645191,10801190527,12042811585,55319365464,11069951505,32132454664,27332810023
Croatia,2018,30800743621,47349853051,11861805605,14156471235,60991183097,12221066577,35488047446,31315884810
Cuba,1970,1857341129,4910892338,1803079746,1476004428,5692936975,1447319730,3107812592,2515206652
Cuba,1971,2255932890,5964107505,2189933918,1793431599,6914575471,1758188178,3774173587,3055059258
Cuba,1972,2654167318,7017116412,2576551618,2109789144,8135053335,2068706681,4440564794,3594326247
Cuba,1973,3258362969,8616656533,3163536458,2588408075,9987589917,2539436691,5453120075,4412286151
