Country or Area,Year,Female,Male
Malta,2005,82.4,60.5
Mauritius,1990,35.2,53.1
Mauritius,1992,38.9,48.1
Mauritius,1994,42.3,48.7
Mauritius,1995,43.8,49.4
Mauritius,1996,45.2,50
Mauritius,1997,46,51.2
Mauritius,1998,46.1,51.3
Mauritius,1999,46.7,51.8
Mauritius,2000,46.3,50.4
Mauritius,2001,47.4,50.9
Mauritius,2002,50.9,52.4
Mauritius,2003,53.8,53.3
Mauritius,2004,60.5,54.1
Mauritius,2005,62.2,55.1
Mexico,1990,66.6,31.2
Mexico,1991,69.7,40.7
Mexico,1993,71,41.2
Mexico,1995,74.3,44.6
Mexico,1996,72,46.7
Mexico,1997,69.4,45.6
Mexico,1998,71.6,47.9
Mexico,1999,70.3,46.4
Mexico,2000,70.6,47
Mexico,2001,71.7,47.9
Mexico,2002,72.9,48.8
Mexico,2003,74.8,49.6
Mexico,2004,74.6,49.8
Mexico,2005,75.5,48.8
Mongolia,1993,43.6,36.6
Mongolia,1994,42.2,35.2
Mongolia,1995,38.9,33.3
Mongolia,1996,40,32.4
Mongolia,1997,39.5,29.7
Mongolia,1998,38.7,30.5
Mongolia,1999,39.4,31
Mongolia,2000,42.2,32.6
Mongolia,2001,42.6,33.5
Mongolia,2002,44.4,37.1
Mongolia,2003,46.3,38.9
Mongolia,2004,48.7,38.6
Mongolia,2005,48.4,38.1
Montserrat,1991,86.3,45.8
Morocco,2002,23.9,39.4
Morocco,2003,24.5,40
Morocco,2004,22.8,39.7
Morocco,2005,22.7,38.9
Namibia,1991,39.8,33.8
Namibia,1997,52.3,42.5
Namibia,2000,63.3,49.4
Nepal,1991,7.5,19.6
Nepal,1999,9.6,18.3
Nepal,2001,10.8,25.6
Netherlands,1985,84.5,56.9
Netherlands,1987,84.5,58
Netherlands,1988,85.1,59.6
Netherlands,1989,85,59.2
Netherlands,1990,84.4,59
Netherlands,1991,85.2,59.8
Netherlands,1992,81.8,59.8
Netherlands,1993,83.3,60.4
Netherlands,1994,84.3,61.2
Netherlands,1995,83,61.6
Netherlands,1996,85.2,61.9
Netherlands,1997,85.3,62.2
Netherlands,1998,85.3,63.5
Netherlands,1999,85.3,63.6
Netherlands,2000,83.1,62.9
Netherlands,2001,85.7,63.3
Netherlands,2002,86.4,63.9
Netherlands,2003,87.2,64.6
Netherlands,2004,84.2,61.5
Netherlands,2005,85.6,62.4
Netherlands Antilles,1992,93.3,64.9
Netherlands Antilles,1993,93.7,64.6
Netherlands Antilles,1994,94.2,65.2
Netherlands Antilles,1995,93.8,64.4
Netherlands Antilles,1996,93.9,65.4
Netherlands Antilles,1997,93.8,66.7
Netherlands Antilles,1998,94.3,68.4
Netherlands Antilles,2000,93.9,69.2
New Caledonia,1996,85.7,56.9
New Zealand,1986,74,50.3
New Zealand,1987,76,51.7
New Zealand,1988,77.2,53
New Zealand,1989,77.8,53.8
New Zealand,1990,77.7,54.2
New Zealand,1991,78.7,55.1
New Zealand,1992,79.5,55.7
New Zealand,1993,78.6,55.9
New Zealand,1994,78.5,53.4
New Zealand,1995,79,54.2
New Zealand,1996,79.8,54.1
New Zealand,1997,81,56
New Zealand,1998,80.6,56.1
New Zealand,1999,80.8,56.4
New Zealand,2000,81.4,56.3
New Zealand,2001,81.9,56.3
New Zealand,2002,82.6,56.6
New Zealand,2003,83.4,57.6
New Zealand,2004,83.3,58
New Zealand,2005,84.3,58.9
Nicaragua,1993,85.9,69.1
Nicaragua,1995,83.6,64
Nicaragua,1996,84.5,65.3
Nicaragua,1997,83.2,62.6
Nicaragua,1998,80.5,62.9
Nicaragua,1999,46.8,33.1
Nicaragua,2000,71.5,34.8
Nicaragua,2001,80.1,59.7
Nicaragua,2002,79.4,58.4
Nicaragua,2003,52.4,33.4
Nigeria,1995,86.8,66.5
Norway,1985,83,52.7
Norway,1986,82.3,53.1
Norway,1987,83.5,53.3
Norway,1988,83.7,54.5
Norway,1989,84.3,55.5
Norway,1990,84.7,56.4
Norway,1991,86.2,57.8
Norway,1992,86.4,58.3
Norway,1993,86.6,58.9
Norway,1994,86.8,58.7
Norway,1995,86.7,59
Norway,1996,86.9,59.3
Norway,1997,87.3,58.6
Norway,1998,87.4,59
Norway,1999,88,60.5
Norway,2000,88.3,61.6
Norway,2001,88.6,61.7
Norway,2002,89.1,61.5
Norway,2003,89.2,61.9
Norway,2004,90,62.8
Norway,2005,90.4,62.9
Oman,1993,86.1,81.2
Oman,1996,87.8,84.4
Oman,2000,80.2,82.4
Pakistan,1985,13.1,30.4
Pakistan,1986,11.7,28.5
Pakistan,1987,12.3,32.2
Pakistan,1988,13.4,31
Pakistan,1989,13.4,31
Pakistan,1990,13.5,30.9
Pakistan,1991,19.3,34.6
Pakistan,1992,15.8,34.7
Pakistan,1993,18.5,35.9
Pakistan,1994,16.7,35.1
Pakistan,1995,21.9,36.4
Pakistan,1996,21.9,36.4
Pakistan,1997,23.1,39
Pakistan,1998,20.8,38
Pakistan,1999,20.8,38
Pakistan,2000,18.1,36.1
Pakistan,2001,18.1,36.1
Pakistan,2002,19.8,40.1
Pakistan,2003,19.8,40.1
Pakistan,2004,17.6,40.5
Pakistan,2005,17.6,40.5
"Palestinian Territory, Occupied",1996,55.6,56.8
"Palestinian Territory, Occupied",1997,54.9,50.9
"Palestinian Territory, Occupied",1998,53.3,48.8
"Palestinian Territory, Occupied",1999,53.6,48.1
"Palestinian Territory, Occupied",2000,53.4,51.2
"Palestinian Territory, Occupied",2001,62.8,58.1
"Palestinian Territory, Occupied",2002,60.1,60
"Palestinian Territory, Occupied",2003,57.2,57.4
"Palestinian Territory, Occupied",2004,56.3,58.5
Panama,1985,81.9,37.6
Panama,1986,83.2,39.1
Panama,1987,81,41.2
Panama,1988,81.8,40.1
Panama,1989,82.3,39.6
Panama,1991,86.6,46.1
Panama,1992,85.4,45
Panama,1993,85.6,46.6
Panama,1994,86,49.2
Panama,1995,85,48.5
Panama,1996,84.8,49.5
Panama,1997,85.9,50.4
Panama,1998,87.1,52.3
Panama,1999,87.5,52.3
Panama,2000,89.1,53.7
Panama,2001,87.8,53.1
Panama,2002,87.6,54.1
Panama,2003,87.5,53.2
Panama,2004,88.1,54.4
Panama,2005,86.4,56
Paraguay,1985,81.9,58.5
Paraguay,1986,83.6,59.6
Paraguay,1987,83.1,61.9
Paraguay,1988,84.8,62.1
Paraguay,1989,83.1,60.6
Paraguay,1990,83.5,60.8
Paraguay,1991,85.7,63.5
Paraguay,1992,80.2,63.9
Paraguay,1993,85.7,62.3
Paraguay,1994,86.4,56.9
Paraguay,1995,55.5,34.8
Paraguay,1996,87,62.1
Paraguay,1997,75.3,41.5
Paraguay,1998,75.2,41
Paraguay,1999,71.8,39.7
Paraguay,2000,69.6,40.6
Paraguay,2001,69.2,40.1
Paraguay,2002,70.6,39.5
Paraguay,2003,69.8,42.1
Peru,1990,79.7,66.1
Peru,1991,84,68.7
Peru,1992,86.9,68.7
Peru,1993,84.6,68.9
Peru,1994,85.3,65.8
Peru,1995,83.1,66.7
Peru,1996,84.2,64.3
Peru,1997,83.1,62.7
Peru,1998,85.9,65.7
Peru,1999,85.6,67.3
Peru,2000,84.6,66.7
Peru,2001,83.8,64.9
Peru,2002,87.3,69.9
Peru,2003,88.7,70.9
Peru,2004,88.4,69.4
Peru,2005,86.4,67.5
Philippines,1985,52.2,27.3
Philippines,1986,52.4,27.7
Philippines,1987,54.2,28.1
Philippines,1988,54.2,29.1
Philippines,1989,54.8,30.1
Philippines,1990,55.8,30.5
Philippines,1991,56.1,28.7
Philippines,1992,54.5,29.3
Philippines,1993,54.1,29.6
Philippines,1994,56,30
Philippines,1995,55.6,31.2
Philippines,1996,57.2,32.5
Philippines,1997,58.9,33.3
Philippines,1998,60.7,34.5
Philippines,1999,61.2,36.4
Philippines,2000,62.3,37
Philippines,2001,63.1,36.7
Philippines,2002,63.3,36.8
Philippines,2003,63.1,37.2
Philippines,2004,63.6,37.8
Philippines,2005,63.5,38.5
Poland,1994,54.6,35.1
Poland,1995,56.5,36.1
Poland,1996,57.7,36.8
Poland,1997,59,38.3
Poland,1998,60.3,39.3
Poland,1999,62.3,41
Poland,2000,62.7,40.4
Poland,2001,62.5,40.4
Poland,2002,64,42
Poland,2003,65.2,42.8
Poland,2004,65.7,42.9
Poland,2005,66.2,43
Portugal,1985,47.1,39.3
Portugal,1986,49.2,41.1
Portugal,1987,48.2,39.9
Portugal,1988,50.1,40.5
Portugal,1989,51.6,42.1
Portugal,1990,53,43.7
Portugal,1991,54.7,44.6
Portugal,1992,62.6,50.6
Portugal,1993,63.4,50.1
Portugal,1994,62.8,50.4
Portugal,1995,64.7,50.3
Portugal,1996,64.6,50.5
Portugal,1997,63.8,48.2
Portugal,1998,60.8,44.1
Portugal,1999,62.4,45.3
Portugal,2000,62.9,44.8
Portugal,2001,63.3,45.4
Portugal,2002,64.8,45.2
Portugal,2003,66,46.1
Portugal,2004,67.6,47.7
Portugal,2005,68.4,48.2
Puerto Rico,1985,76.6,67.3
Puerto Rico,1986,76.6,67
Puerto Rico,1987,77.4,67.6
Puerto Rico,1988,77.6,67.6
Puerto Rico,1989,77.5,66.7
Puerto Rico,1990,78.7,67.6
Puerto Rico,1991,80.5,67.8
Puerto Rico,1992,80.3,67.4
Puerto Rico,1993,80.3,67.3
Puerto Rico,1994,81.4,68.3
Puerto Rico,1995,81.8,69
Puerto Rico,1996,83.3,70.5
Puerto Rico,1997,84.3,69.5
Puerto Rico,1998,85.7,68.5
Puerto Rico,1999,85.1,68.7
Puerto Rico,2000,85,69.1
Puerto Rico,2001,86.1,69.2
Puerto Rico,2002,88.6,70.7
Puerto Rico,2003,87.8,70.9
Puerto Rico,2004,88.6,70.4
Puerto Rico,2005,88.6,71.6
Qatar,1997,97.7,57.4
Qatar,2001,95.9,52.7
Qatar,2004,96.5,49
Republic of Moldova,2000,40,30.3
Republic of Moldova,2001,39.5,30.5
Republic of Moldova,2002,40.6,30.9
Republic of Moldova,2003,46.3,35.2
Republic of Moldova,2004,48.3,37.8
Republic of Moldova,2005,48.2,37.9
Romania,1985,27,26.2
Romania,1986,27.1,26.2
Romania,1987,27.3,26.1
Romania,1988,27.4,26.4
Romania,1989,27.8,26.3
Romania,1990,29.2,26
Romania,1991,32.6,28.3
Romania,1992,32.5,27.6
Romania,1993,31,25.8
Romania,1994,29.5,26.9
Romania,1995,29.5,28.1
Romania,1996,32.1,29.2
Romania,1997,32.5,28.8
Romania,1998,32.8,28.8
Romania,1999,33.1,28.6
Romania,2000,33.4,29
Romania,2001,33.3,29.9
Romania,2002,37.1,31.6
Romania,2003,37.8,31.8
Romania,2004,41.6,33.5
Romania,2005,42.2,33.6
Russian Federation,1997,68.9,47.9
Russian Federation,1998,69.9,49.4
Russian Federation,1999,66,48.2
Russian Federation,2000,66.5,48.2
Russian Federation,2001,67.9,49.7
Russian Federation,2002,68.4,50.2
Russian Federation,2003,69.4,48.4
Russian Federation,2004,70.4,50.1
Russian Federation,2005,70.7,49.6
Rwanda,1989,3.2,10.7
Saint Lucia,1993,64.3,42.6
Saint Lucia,1994,59.4,41.5
Saint Lucia,1995,57.5,42.9
Saint Lucia,1996,62.1,44.3
Saint Lucia,1997,70.6,50.2
Saint Lucia,1998,69.5,49.3
Saint Lucia,1999,70.5,48.9
Saint Lucia,2000,70.1,47.4
Saint Lucia,2002,72.9,50.5
Saint Lucia,2003,67.5,46.6
San Marino,1985,57.6,45
San Marino,1986,59.2,45.1
San Marino,1987,60.6,45.6
San Marino,1988,62.2,45.6
San Marino,1989,63.5,45.8
San Marino,1990,65.7,46
San Marino,1991,66.7,46.4
San Marino,1992,68.9,47.5
San Marino,1993,69.8,47.5
San Marino,1995,68.4,43.1
San Marino,1996,69.8,43.3
San Marino,1997,70.2,43.6
San Marino,1998,71.3,43.3
San Marino,1999,71.9,43.9
San Marino,2001,75.4,46.8
San Marino,2002,75.8,47.2
San Marino,2003,75.2,46.7
San Marino,2004,75.5,47.2
Sao Tome and Principe,2000,70.7,42.6
Saudi Arabia,1999,97.3,68.6
Saudi Arabia,2000,96.1,70.4
Saudi Arabia,2001,97.5,68.8
Saudi Arabia,2002,98.1,70.5
Singapore,1985,66,62.4
Singapore,1986,66.1,63
Singapore,1987,64.2,63.5
Singapore,1988,64,62.9
Singapore,1989,64.4,62.3
Singapore,1991,66.9,62.7
Singapore,1992,67.7,63
Singapore,1993,69.5,63.1
Singapore,1994,71.3,63.8
Singapore,1995,74.5,63.8
Singapore,1996,73.8,66.3
Singapore,1997,75,65.5
Singapore,1998,76.6,66
Singapore,1999,77,66.8
Singapore,2000,78.8,56.9
Singapore,2001,81.3,68.6
Singapore,2002,82,69.6
Singapore,2003,82.4,70.1
Singapore,2004,83.1,70.8
Singapore,2005,79.1,62.9
Slovakia,1994,63.7,39.1
Slovakia,1995,65,41.3
Slovakia,1996,65.1,40.6
Slovakia,1997,66.2,39.5
Slovakia,1998,67.3,40.1
Slovakia,1999,69.2,41.7
Slovakia,2000,70.5,43.8
Slovakia,2001,70.7,43.9
Slovakia,2002,69.6,43.5
Slovakia,2003,70.6,43.3
Slovakia,2004,70.9,43.3
Slovakia,2005,72,43.9
Slovenia,1993,53.9,36.8
Slovenia,1994,54.9,38.1
Slovenia,1995,55.3,38.5
Slovenia,1996,57.8,38.2
Slovenia,1997,56.7,38.6
Slovenia,1998,57.6,40.5
Slovenia,1999,61,42.3
Slovenia,2000,61.5,44.3
Slovenia,2001,60.7,42.5
Slovenia,2002,61.5,42.6
Slovenia,2003,65,44.7
Slovenia,2004,64.3,44
Slovenia,2005,65.3,43.4
South Africa,1999,75.4,50.3
South Africa,2000,72.1,51.6
South Africa,2001,78.5,53.3
South Africa,2002,75.6,52
South Africa,2003,78.9,53.9
Spain,1985,66.5,43
Spain,1986,69.1,44.6
Spain,1987,69.7,45.1
Spain,1988,70.5,45.4
Spain,1989,71.8,46.1
Spain,1990,72.5,46.5
Spain,1991,74.5,47.6
Spain,1992,75.7,49
Spain,1993,77.2,50.6
Spain,1994,78.1,51.3
Spain,1995,79,51.7
Spain,1996,79.9,52.4
Spain,1997,80.4,51.9
Spain,1998,80.8,51.4
Spain,1999,81.1,51.4
Spain,2000,80.7,51.7
Spain,2001,81.1,51
Spain,2002,81.6,51.6
Spain,2003,82.6,51.7
Spain,2004,83.4,51.6
Spain,2005,84,52.3
Sri Lanka,1985,24.4,29.4
Sri Lanka,1993,31.7,38.4
Sri Lanka,1994,26.9,38.5
Sri Lanka,1995,27.6,36.3
Sri Lanka,1996,34,41
Sri Lanka,1998,27.3,36.7
Sri Lanka,2001,17.1,43.7
Sri Lanka,2002,33.4,40.1
St Vincent and the Grenadines,1991,74.7,42.4
St Vincent and the Grenadines,2001,80.1,48.1
Suriname,1990,87.3,64.5
Suriname,1992,87.1,65.4
Suriname,1993,88.4,65.1
Suriname,1994,88.6,62.5
Suriname,1995,88.5,56.1
Suriname,1996,91.6,52.9
Suriname,1997,89.9,56.9
Suriname,1998,85.5,56.3
Suriname,1999,96.6,64.3
Sweden,1985,83,49.5
Sweden,1986,83.3,51
Sweden,1987,83,50.2
Sweden,1988,83.4,51
Sweden,1989,83.4,51.5
Sweden,1990,84.1,51.7
Sweden,1991,84.9,52.9
Sweden,1992,85.8,55
Sweden,1993,86.3,56.1
Sweden,1994,86.7,56.8
Sweden,1995,86.5,56.3
Sweden,1996,86.6,56.6
Sweden,1997,86.5,57.2
Sweden,1998,86.5,58
Sweden,1999,86.9,58.7
Sweden,2000,87.3,59.7
Sweden,2001,87.8,60.9
Sweden,2002,88.6,61.5
Sweden,2003,89.2,61.9
Sweden,2004,89.2,62.1
Sweden,2005,89.5,63.1
Switzerland,1985,74.5,48.9
Switzerland,1986,75,49.7
Switzerland,1987,76,50.9
Switzerland,1988,76.9,52
Switzerland,1989,77.5,53
Switzerland,1990,78.2,54.2
Switzerland,1991,79,57.4
Switzerland,1992,81.1,58.6
Switzerland,1993,81.3,59.2
Switzerland,1994,80.6,59.5
Switzerland,1995,80.9,57.7
Switzerland,1996,80.9,59.2
Switzerland,1997,82.2,60.2
Switzerland,1998,83,60.2
Switzerland,1999,83.5,60.2
Switzerland,2000,83.5,60
Switzerland,2001,83.9,60.4
Switzerland,2002,84.1,61.1
Switzerland,2003,84.8,62.7
Switzerland,2004,85.3,63.4
Switzerland,2005,85.7,62.8
Syria,1989,40.1,47.3
Syria,1991,38.2,48.5
Syria,1993,34.5,44.1
Syria,1994,53,44.3
Syria,1995,29.1,43.9
Syria,1997,60.4,47.3
Syria,1999,39.9,44.4
Syria,2000,45.1,43.3
Syria,2001,35.2,44.7
Syria,2002,31.6,43.1
Syria,2003,42.7,48.3
Tanzania,1991,8.2,15.3
Tanzania,2001,14.8,15.7
Thailand,1985,25.2,20.2
Thailand,1986,23.2,22.1
Thailand,1987,25,22.7
Thailand,1988,23.4,21.3
Thailand,1989,22.1,20.7
Thailand,1990,22.7,21.3
Thailand,1991,25.4,23.2
Thailand,1992,24.6,22.2
Thailand,1993,27.3,24.3
Thailand,1994,27.5,24.6
Thailand,1995,29.4,27.3
Thailand,1996,30.9,27.7
Thailand,1997,31.7,28.5
Thailand,1998,34.1,28.5
Thailand,1999,36.1,30.7
Thailand,2000,35.2,29.7
Thailand,2001,37.9,32.8
Thailand,2002,37,31.6
Thailand,2003,38.7,32.6
Thailand,2004,40.4,34.4
Thailand,2005,40.5,34.1
Trinidad and Tobago,1985,75.7,46.5
Trinidad and Tobago,1986,80.3,49.5
Trinidad and Tobago,1987,80.3,49.1
Trinidad and Tobago,1988,78,49.8
Trinidad and Tobago,1989,79.5,49.2
Trinidad and Tobago,1990,80,51.1
Trinidad and Tobago,1991,77.7,50
Trinidad and Tobago,1992,80.2,51.3
Trinidad and Tobago,1993,80.6,52.2
Trinidad and Tobago,1994,80.5,52.1
Trinidad and Tobago,1995,82.3,53.5
Trinidad and Tobago,1996,82.7,54.7
Trinidad and Tobago,1997,83.5,53.2
Trinidad and Tobago,1998,83.4,52.3
Trinidad and Tobago,1999,84.1,52.5
Trinidad and Tobago,2000,83.7,53.4
Trinidad and Tobago,2001,83.8,51.1
Trinidad and Tobago,2002,83.7,53
Trinidad and Tobago,2003,84.5,53.4
Trinidad and Tobago,2004,82.6,53.4
Trinidad and Tobago,2005,82,52.3
Turkey,1985,12.9,44.6
Turkey,1988,13.3,39.5
Turkey,1989,13,39.1
Turkey,1990,14.4,40.7
Turkey,1991,14.4,39.7
Turkey,1992,16.7,40.9
Turkey,1993,19.6,40.6
Turkey,1994,18.2,40.1
Turkey,1995,19,40.5
Turkey,1996,18.4,40.6
Turkey,1997,21,40.3
Turkey,1998,21.7,41.2
Turkey,1999,21.5,41.6
Turkey,2000,26.3,45
Turkey,2001,24.5,45.5
Turkey,2002,26.3,48.4
Turkey,2003,28.1,49.3
Turkey,2004,28.7,48.1
Turkey,2005,33.3,50.2
Uganda,1989,11.3,20.5
Uganda,1992,3.2,5.2
Uganda,2003,17.8,28.8
United Arab Emirates,1995,85.9,54.6
United Arab Emirates,2000,85.9,54.6
United Kingdom,1985,80.7,53.6
United Kingdom,1986,81.4,54.4
United Kingdom,1987,81.9,55.1
United Kingdom,1988,80.3,52.2
United Kingdom,1989,80.8,52
United Kingdom,1990,80.9,52.5
United Kingdom,1991,81.2,53.5
United Kingdom,1992,82.1,54.9
United Kingdom,1993,82.6,55.8
United Kingdom,1994,84.2,57.9
United Kingdom,1995,84.4,58.6
United Kingdom,1996,84.7,58.6
United Kingdom,1997,85.5,59.2
United Kingdom,1998,85.9,59.6
United Kingdom,1999,86.5,60.6
United Kingdom,2000,87,61.3
United Kingdom,2001,87.7,61.9
United Kingdom,2002,88.3,62.7
United Kingdom,2003,89,63.5
United Kingdom,2004,89.6,64.7
United Kingdom,2005,89.6,64.8
United States of America,1985,82.1,58
United States of America,1986,82.6,58.2
United States of America,1987,82.8,59
United States of America,1988,82.9,59.4
United States of America,1989,83.2,59.5
United States of America,1990,83.8,59.9
United States of America,1991,84.1,61.1
United States of America,1992,84.5,62
United States of America,1993,85.2,62.6
United States of America,1994,85,62.5
United States of America,1995,85.2,62.3
United States of America,1996,85.3,62.6
United States of America,1997,85.4,62.6
United States of America,1998,85.7,62.9
United States of America,1999,86.2,63.7
United States of America,2000,86.2,63.9
United States of America,2001,86.9,64.6
United States of America,2002,87.8,65
United States of America,2003,89,67.3
United States of America,2004,89.3,67.4
United States of America,2005,89.6,67.6
Uruguay,1986,77.6,63.2
Uruguay,1987,75.9,59.1
Uruguay,1988,77.4,59.6
Uruguay,1989,76.9,58.8
Uruguay,1990,78.2,59.6
Uruguay,1991,76.8,60.5
Uruguay,1992,78.4,57.2
Uruguay,1993,79.2,58
Uruguay,1994,80.5,58.9
Uruguay,1995,81.7,59.3
Uruguay,1998,84.4,61.7
Uruguay,1999,84.9,60.6
Uruguay,2000,85.4,60.7
Uruguay,2001,84.9,62.4
Uruguay,2002,86.5,63.7
Uruguay,2003,86.1,64.7
Uruguay,2005,85.7,63.8
Venezuela,1985,81.4,50.2
Venezuela,1986,80.4,49.7
Venezuela,1987,79.7,49.6
Venezuela,1988,79.8,50.3
Venezuela,1989,81.2,51.6
Venezuela,1990,82.2,51.7
Venezuela,1991,82.1,51.6
Venezuela,1992,82.2,51.8
Venezuela,1993,83,53
Venezuela,1994,83.3,52.2
Venezuela,1995,84.2,52.6
Venezuela,1996,85.2,53.6
Venezuela,1997,84.9,54.9
Venezuela,1998,85.2,54.5
Venezuela,1999,85.7,56.5
Venezuela,2000,86.2,56.7
Venezuela,2001,86.3,57.2
Venezuela,2002,86.3,58.4
Venezuela,2003,86,58.6
Vietnam,1996,20.7,17.9
Vietnam,1997,23.5,20.5
Vietnam,1998,25.2,22.1
Vietnam,1999,24.7,21.4
Vietnam,2000,23.6,21
Vietnam,2001,23.8,20.4
Vietnam,2002,25.1,21.4
Vietnam,2003,25.3,22.6
Vietnam,2004,26.3,23.3
Yemen,1991,13.4,37.7
Yemen,1994,9.4,39.9
Yemen,1998,9.2,39.4
Yemen,1999,9.2,43
Zambia,1996,21,28
Zambia,1998,20,26.9
Zimbabwe,1999,20.4,28
